City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
246,Hasaki,JP,2021-10-09 16:08:39,35.7333,140.8333,66.6,86,36,6.93
247,Ternate,ID,2021-10-09 16:11:48,0.8,127.4,81.09,80,100,2.35
248,Batagay-Alyta,RU,2021-10-09 16:11:48,67.8006,130.4114,19.56,75,100,3.56
249,Bengkulu,ID,2021-10-09 16:11:10,-3.8004,102.2655,77.85,90,42,5.32
250,Guilin,CN,2021-10-09 16:11:49,25.2819,110.2864,66.83,93,100,9.4
251,Ulcinj,ME,2021-10-09 16:11:49,41.9294,19.2244,60.93,75,88,13.38
252,Berlevag,NO,2021-10-09 16:11:49,70.8578,29.0864,37.24,93,100,7.18
253,Labuhan,ID,2021-10-09 16:11:49,-6.8844,112.2051,80.46,72,9,6.44
254,Port Blair,IN,2021-10-09 16:11:50,11.6667,92.75,79.83,85,99,15.03
255,Caravelas,BR,2021-10-09 16:11:50,-17.7125,-39.2481,77.99,64,96,8.88
256,Abu Samrah,SY,2021-10-09 16:11:50,35.3029,37.1841,80.15,19,0,5.23
257,Zhob,PK,2021-10-09 16:11:51,31.3411,69.4481,75.13,13,0,7.58
258,Uporovo,RU,2021-10-09 16:11:51,56.3109,66.2693,43.77,70,100,7.49
259,Suining,CN,2021-10-09 16:11:51,30.508,105.5733,63.48,77,47,10.16
260,Saint Andrews,US,2021-10-09 16:11:51,34.0454,-81.1293,75.31,76,75,1.99
261,Port-Gentil,GA,2021-10-09 16:11:52,-0.7193,8.7815,79.14,86,100,13.78
262,Korla,CN,2021-10-09 16:11:52,41.7597,86.1469,47.57,38,1,4.23
263,Vlasotince,RS,2021-10-09 16:11:52,42.9636,22.1231,47.07,96,100,2.51
264,Maceio,BR,2021-10-09 16:11:53,-9.6658,-35.7353,89.04,51,40,11.5
265,Rupert,US,2021-10-09 16:11:53,42.6191,-113.6772,44.55,76,90,16.11
266,Hobyo,SO,2021-10-09 16:11:53,5.3505,48.5268,78.78,82,38,13.53
267,Penapolis,BR,2021-10-09 16:11:53,-21.4197,-50.0775,95.4,30,12,3.27
268,Bilibino,RU,2021-10-09 16:11:54,68.0546,166.4372,-3.14,99,93,2.68
269,Juazeiro,BR,2021-10-09 16:11:54,-9.4117,-40.4986,91.58,38,0,12.66
270,Palu,ID,2021-10-09 16:11:54,-0.8917,119.8707,77.22,94,97,3.22
271,Vila Franca Do Campo,PT,2021-10-09 16:11:55,37.7167,-25.4333,73.81,66,22,9.57
272,Sao Filipe,CV,2021-10-09 16:11:55,14.8961,-24.4956,81.3,75,18,6.64
273,Verkhnedneprovskiy,RU,2021-10-09 16:11:55,54.9813,33.3457,42.19,64,70,2.44
274,La Ronge,CA,2021-10-09 16:11:01,55.1001,-105.2842,47.86,47,4,5.44
275,Ndola,ZM,2021-10-09 16:11:56,-12.9587,28.6366,85.82,20,71,4.85
276,Bonthe,SL,2021-10-09 16:11:56,7.5264,-12.505,83.28,72,93,12.82
277,Pierre,US,2021-10-09 16:09:20,44.3683,-100.351,70.05,82,75,8.01
278,Quetta,PK,2021-10-09 16:11:57,30.199,67.0097,66.45,18,0,5.44
279,Camocim,BR,2021-10-09 16:11:07,-2.9022,-40.8411,87.39,59,88,15.08
280,Tiksi,RU,2021-10-09 16:09:25,71.6872,128.8694,22.84,82,99,7.9
281,Tres Arroyos,AR,2021-10-09 16:11:57,-38.3739,-60.2798,67.41,42,0,5.73
282,Taoudenni,ML,2021-10-09 16:11:57,22.6783,-3.9836,105.1,6,68,1.95
283,Innisfail,AU,2021-10-09 16:10:40,-17.5333,146.0333,76.3,73,98,5.5
284,San Policarpo,PH,2021-10-09 16:11:58,12.1791,125.5072,79.75,81,100,17.49
285,Manhush,UA,2021-10-09 16:11:58,47.0558,37.3107,50.54,25,100,19.22
286,Semibratovo,RU,2021-10-09 16:11:58,57.3046,39.5369,46.26,64,88,7.16
287,Khorixas,NA,2021-10-09 16:11:58,-20.3667,14.9667,92.1,6,0,14.83
288,Sabang,ID,2021-10-09 16:11:59,5.8933,95.3214,82.89,80,91,19.44
289,Cherskiy,RU,2021-10-09 16:09:40,68.75,161.3,-0.26,100,96,4.09
290,Cockburn Town,TC,2021-10-09 16:10:31,21.4612,-71.1419,82.98,73,92,13.09
291,Sovetskiy,RU,2021-10-09 16:11:59,61.3614,63.5842,34.84,67,90,9.69
292,Road Town,VG,2021-10-09 16:12:00,18.4167,-64.6167,89.64,55,20,11.5
293,Khani,GE,2021-10-09 16:12:00,41.9563,42.9566,54.97,73,35,5.53
